source,run,region,baseline_mode,standardization_protocol,baseline_fit_path,member_match_policy,case,period_start,period_end,spei48_mean
cmip6/CESM2,r10i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,only_humidity,2081,2100,-0.1911484073948158
cmip6/CESM2,r10i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,only_pressure,2021,2040,-0.1352029976665941
cmip6/CESM2,r10i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,only_pressure,2041,2060,-0.13662347573851463
cmip6/CESM2,r10i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,only_pressure,2081,2100,-0.13961139605445158
cmip6/ACCESS-CM2,r1i1p1f1,IRN,native,member-native-zscore,,exact,all_actual,2021,2040,-0.993365477358107
cmip6/ACCESS-CM2,r1i1p1f1,IRN,native,member-native-zscore,,exact,all_actual,2041,2060,-1.8758194051278494
cmip6/ACCESS-CM2,r1i1p1f1,IRN,native,member-native-zscore,,exact,all_actual,2081,2100,-2.8524380109370004
cmip6/ACCESS-CM2,r1i1p1f1,IRN,native,member-native-zscore,,exact,all_clamped,2021,2040,-0.2640561983764816
cmip6/ACCESS-CM2,r1i1p1f1,IRN,native,member-native-zscore,,exact,all_clamped,2041,2060,-0.2640561983764816
cmip6/ACCESS-CM2,r1i1p1f1,IRN,native,member-native-zscore,,exact,all_clamped,2081,2100,-0.2640705504620276
cmip6/ACCESS-CM2,r1i1p1f1,IRN,native,member-native-zscore,,exact,loo_precipitation,2021,2040,-1.5452458023784754
cmip6/ACCESS-CM2,r1i1p1f1,IRN,native,member-native-zscore,,exact,loo_precipitation,2041,2060,-2.6079880349714983
cmip6/ACCESS-CM2,r1i1p1f1,IRN,native,member-native-zscore,,exact,loo_precipitation,2081,2100,-3.7698198652778094
cmip6/ACCESS-CM2,r1i1p1f1,IRN,native,member-native-zscore,,exact,loo_temperature,2021,2040,0.8535820720665348
cmip6/ACCESS-CM2,r1i1p1f1,IRN,native,member-native-zscore,,exact,loo_temperature,2041,2060,0.8951546602258518
cmip6/ACCESS-CM2,r1i1p1f1,IRN,native,member-native-zscore,,exact,loo_temperature,2081,2100,1.1730658235729623
cmip6/ACCESS-CM2,r1i1p1f1,IRN,native,member-native-zscore,,exact,loo_radiation,2021,2040,-1.0742784743391727
cmip6/ACCESS-CM2,r1i1p1f1,IRN,native,member-native-zscore,,exact,loo_radiation,2041,2060,-1.9166305029789654
cmip6/ACCESS-CM2,r1i1p1f1,IRN,native,member-native-zscore,,exact,loo_radiation,2081,2100,-2.869982650885751
cmip6/ACCESS-CM2,r1i1p1f1,IRN,native,member-native-zscore,,exact,loo_wind,2021,2040,-1.3171975779575698
cmip6/ACCESS-CM2,r1i1p1f1,IRN,native,member-native-zscore,,exact,loo_wind,2041,2060,-2.071497449732623
cmip6/ACCESS-CM2,r1i1p1f1,IRN,native,member-native-zscore,,exact,loo_wind,2081,2100,-3.1663012733421994
cmip6/ACCESS-CM2,r1i1p1f1,IRN,native,member-native-zscore,,exact,loo_humidity,2021,2040,-1.1912525793247026
cmip6/ACCESS-CM2,r1i1p1f1,IRN,native,member-native-zscore,,exact,loo_humidity,2041,2060,-2.111028186937568
cmip6/ACCESS-CM2,r1i1p1f1,IRN,native,member-native-zscore,,exact,loo_humidity,2081,2100,-3.076366991815443
cmip6/ACCESS-CM2,r1i1p1f1,IRN,native,member-native-zscore,,exact,loo_pressure,2021,2040,-0.9981157843385539
cmip6/ACCESS-CM2,r1i1p1f1,IRN,native,member-native-zscore,,exact,loo_pressure,2041,2060,-1.8811817181245738
cmip6/ACCESS-CM2,r1i1p1f1,IRN,native,member-native-zscore,,exact,loo_pressure,2081,2100,-2.8573112203581763
cmip6/ACCESS-CM2,r1i1p1f1,IRN,native,member-native-zscore,,exact,only_precipitation,2021,2040,0.287824565969675
cmip6/ACCESS-CM2,r1i1p1f1,IRN,native,member-native-zscore,,exact,only_precipitation,2041,2060,0.4681129338519392
cmip6/ACCESS-CM2,r1i1p1f1,IRN,native,member-native-zscore,,exact,only_precipitation,2081,2100,0.6533115894644568
cmip6/ACCESS-CM2,r1i1p1f1,IRN,native,member-native-zscore,,exact,only_temperature,2021,2040,-2.149657000449821
cmip6/ACCESS-CM2,r1i1p1f1,IRN,native,member-native-zscore,,exact,only_temperature,2041,2060,-3.087261621490947
cmip6/ACCESS-CM2,r1i1p1f1,IRN,native,member-native-zscore,,exact,only_temperature,2081,2100,-4.341994105922148
cmip6/ACCESS-CM2,r1i1p1f1,IRN,native,member-native-zscore,,exact,only_radiation,2021,2040,-0.20450003284922208
cmip6/ACCESS-CM2,r1i1p1f1,IRN,native,member-native-zscore,,exact,only_radiation,2041,2060,-0.2478536174415252
cmip6/ACCESS-CM2,r1i1p1f1,IRN,native,member-native-zscore,,exact,only_radiation,2081,2100,-0.26453696864612103
cmip6/ACCESS-CM2,r1i1p1f1,IRN,native,member-native-zscore,,exact,only_wind,2021,2040,0.015260349677281949
cmip6/ACCESS-CM2,r1i1p1f1,IRN,native,member-native-zscore,,exact,only_wind,2041,2060,-0.10086756984259607
cmip6/ACCESS-CM2,r1i1p1f1,IRN,native,member-native-zscore,,exact,only_wind,2081,2100,0.013904441208571261
cmip6/ACCESS-CM2,r1i1p1f1,IRN,native,member-native-zscore,,exact,only_humidity,2021,2040,-0.041135703997937485
cmip6/ACCESS-CM2,r1i1p1f1,IRN,native,member-native-zscore,,exact,only_humidity,2041,2060,-0.014831763658157464
cmip6/ACCESS-CM2,r1i1p1f1,IRN,native,member-native-zscore,,exact,only_humidity,2081,2100,-0.009881920512590788
cmip6/ACCESS-CM2,r1i1p1f1,IRN,native,member-native-zscore,,exact,only_pressure,2021,2040,-0.2608041575886453
cmip6/ACCESS-CM2,r1i1p1f1,IRN,native,member-native-zscore,,exact,only_pressure,2041,2060,-0.26052631441582147
cmip6/ACCESS-CM2,r1i1p1f1,IRN,native,member-native-zscore,,exact,only_pressure,2081,2100,-0.2611488017665716
cmip6/ACCESS-ESM1-5,r10i1p1f1,IRN,native,member-native-zscore,,exact,all_actual,2021,2040,-1.21213699606111
cmip6/ACCESS-ESM1-5,r10i1p1f1,IRN,native,member-native-zscore,,exact,all_actual,2041,2060,-1.633489019019248
cmip6/ACCESS-ESM1-5,r10i1p1f1,IRN,native,member-native-zscore,,exact,all_actual,2081,2100,-3.516768052232851
cmip6/ACCESS-ESM1-5,r10i1p1f1,IRN,native,member-native-zscore,,exact,all_clamped,2021,2040,-0.062177525760462364
cmip6/ACCESS-ESM1-5,r10i1p1f1,IRN,native,member-native-zscore,,exact,all_clamped,2041,2060,-0.062177525760462364
cmip6/ACCESS-ESM1-5,r10i1p1f1,IRN,native,member-native-zscore,,exact,all_clamped,2081,2100,-0.062192782889451535
cmip6/ACCESS-ESM1-5,r10i1p1f1,IRN,native,member-native-zscore,,exact,loo_precipitation,2021,2040,-1.9721616264394075
