aggregation,baseline_end,baseline_start,effective_block_trials,estimate,events,factual_probability,forcing,lower,members,natural_probability,one_sided,one_sided_point_ratio_bound,opportunities,pet_method,record_type,rsds_treatment,source,threshold,upper,window_end,window_start,years_per_member
gridcell-spei-area-mean,2010,1981,400,0.0,0,,natural,0.0,100,,True,,2000,hargreaves,probability,adjusted,GCMagicc-CE,-1.6782536066442586,0.0074613555287995625,2060,2041,20
gridcell-spei-area-mean,2010,1981,400,inf,,0.067,factual/natural,6.835219123810503,100,0.0,True,8.979601594025564,,hargreaves,probability_ratio,adjusted,GCMagicc-CE,-1.6782536066442586,inf,2060,2041,20
gridcell-spei-area-mean,2010,1991,100,0.022,11,,factual,0.008,100,,False,,500,penman-monteith,probability,adjusted,GCMagicc-CE,-1.8381701072586882,0.04,2025,2021,5
gridcell-spei-area-mean,2010,1991,100,0.0,0,,natural,0.0,100,,True,,500,penman-monteith,probability,adjusted,GCMagicc-CE,-1.8381701072586882,0.029513049607039932,2025,2021,5
gridcell-spei-area-mean,2010,1991,100,inf,,0.022,factual/natural,0.33883316475755315,100,0.0,True,0.7454329624666168,,penman-monteith,probability_ratio,adjusted,GCMagicc-CE,-1.8381701072586882,inf,2025,2021,5
gridcell-spei-area-mean,2010,1991,400,0.311,622,,factual,0.269,100,,False,,2000,penman-monteith,probability,adjusted,GCMagicc-CE,-1.8381701072586882,0.3555,2060,2041,20
gridcell-spei-area-mean,2010,1991,400,0.0,0,,natural,0.0,100,,True,,2000,penman-monteith,probability,adjusted,GCMagicc-CE,-1.8381701072586882,0.0074613555287995625,2060,2041,20
gridcell-spei-area-mean,2010,1991,400,inf,,0.311,factual/natural,36.856573706821344,100,0.0,True,41.681434264805226,,penman-monteith,probability_ratio,adjusted,GCMagicc-CE,-1.8381701072586882,inf,2060,2041,20
regional-water-balance-spei,2010,1991,100,0.2,100,,factual,0.154,100,,False,,500,penman-monteith,probability,adjusted,GCMagicc-CE,-1.9174238443374634,0.248,2025,2021,5
regional-water-balance-spei,2010,1991,100,0.0,0,,natural,0.0,100,,True,,500,penman-monteith,probability,adjusted,GCMagicc-CE,-1.9174238443374634,0.029513049607039932,2025,2021,5
regional-water-balance-spei,2010,1991,100,inf,,0.2,factual/natural,5.42133063612085,100,0.0,True,6.776663295151063,,penman-monteith,probability_ratio,adjusted,GCMagicc-CE,-1.9174238443374634,inf,2025,2021,5
regional-water-balance-spei,2010,1991,400,0.6595,1319,,factual,0.6145,100,,False,,2000,penman-monteith,probability,adjusted,GCMagicc-CE,-1.9174238443374634,0.7045,2060,2041,20
regional-water-balance-spei,2010,1991,400,0.0,0,,natural,0.0,100,,True,,2000,penman-monteith,probability,adjusted,GCMagicc-CE,-1.9174238443374634,0.0074613555287995625,2060,2041,20
regional-water-balance-spei,2010,1991,400,inf,,0.6595,factual/natural,83.29585657741623,100,0.0,True,88.388764944177,,penman-monteith,probability_ratio,adjusted,GCMagicc-CE,-1.9174238443374634,inf,2060,2041,20
gridcell-spei-area-mean,2010,1991,100,0.022,11,,factual,0.008,100,,False,,500,penman-monteith,probability,unadjusted,GCMagicc-CE,-1.8381701072586882,0.038,2025,2021,5
gridcell-spei-area-mean,2010,1991,100,0.0,0,,natural,0.0,100,,True,,500,penman-monteith,probability,unadjusted,GCMagicc-CE,-1.8381701072586882,0.029513049607039932,2025,2021,5
gridcell-spei-area-mean,2010,1991,100,inf,,0.022,factual/natural,0.33883316475755315,100,0.0,True,0.7454329624666168,,penman-monteith,probability_ratio,unadjusted,GCMagicc-CE,-1.8381701072586882,inf,2025,2021,5
gridcell-spei-area-mean,2010,1991,400,0.2665,533,,factual,0.2275,100,,False,,2000,penman-monteith,probability,unadjusted,GCMagicc-CE,-1.8381701072586882,0.3065,2060,2041,20
gridcell-spei-area-mean,2010,1991,400,0.0,0,,natural,0.0,100,,True,,2000,penman-monteith,probability,unadjusted,GCMagicc-CE,-1.8381701072586882,0.0074613555287995625,2060,2041,20
gridcell-spei-area-mean,2010,1991,400,inf,,0.2665,factual/natural,31.294581674701032,100,0.0,True,35.71737051951959,,penman-monteith,probability_ratio,unadjusted,GCMagicc-CE,-1.8381701072586882,inf,2060,2041,20
gridcell-spei-area-mean,2010,1981,100,0.062,31,,factual,0.034,100,,False,,500,penman-monteith,probability,adjusted,GCMagicc-CE,-1.7303936915940574,0.094,2025,2021,5
gridcell-spei-area-mean,2010,1981,100,0.0,0,,natural,0.0,100,,True,,500,penman-monteith,probability,adjusted,GCMagicc-CE,-1.7303936915940574,0.029513049607039932,2025,2021,5
gridcell-spei-area-mean,2010,1981,100,inf,,0.062,factual/natural,1.2875660260787019,100,0.0,True,2.1007656214968295,,penman-monteith,probability_ratio,adjusted,GCMagicc-CE,-1.7303936915940574,inf,2025,2021,5
gridcell-spei-area-mean,2010,1981,400,0.433,866,,factual,0.388,100,,False,,2000,penman-monteith,probability,adjusted,GCMagicc-CE,-1.7303936915940574,0.479,2060,2041,20
gridcell-spei-area-mean,2010,1981,400,0.0,0,,natural,0.0,100,,True,,2000,penman-monteith,probability,adjusted,GCMagicc-CE,-1.7303936915940574,0.0074613555287995625,2060,2041,20
gridcell-spei-area-mean,2010,1981,400,inf,,0.433,factual/natural,52.93944223343429,100,0.0,True,58.03235060019506,,penman-monteith,probability_ratio,adjusted,GCMagicc-CE,-1.7303936915940574,inf,2060,2041,20
