version,iter,trend_y_true,trend_y_truesecond,trend_y_hat,trend_yera_hat
CanESM5,5,5.761017,5.6342163,4.2493286,3.99469
CanESM5,6,2.4416199,2.4882812,1.8440247,1.7750549
CanESM5,7,6.6922607,5.8363037,5.4954834,4.9983215
CanESM5,8,6.500641,5.7413025,5.2666626,5.24942
CanESM5,9,5.596466,5.679352,4.365631,3.9369812
CanESM5,10,2.5896606,2.5984192,1.8962402,1.8656006
CanESM5,11,6.6678467,5.8629456,5.4252014,5.236084
CanESM5,12,6.7509766,6.604645,5.357849,5.115387
CanESM5,13,6.7983704,6.7103577,5.4446716,5.0990295
CanESM5,14,4.601959,4.638855,3.5294495,3.3650818
CanESM5,15,6.5230103,6.514282,5.517639,4.928192
CanESM5,16,1.6259766,1.6683655,1.4837646,1.3774414
CanESM5,17,5.8524475,6.6490173,5.2621155,4.9498596
CanESM5,18,5.3246765,5.2738953,4.4171753,3.9722595
CanESM5,19,5.3559875,5.413208,4.4448547,3.9189453
CanESM5,20,2.3875732,2.3768616,2.0950012,1.773346
CanESM5,21,2.4620667,2.42276,2.1153564,1.9967957
CanESM5,22,2.510376,2.468811,1.9654846,1.9138794
CanESM5,23,6.524109,6.432312,5.271118,5.0668945
CanESM5,24,1.5804138,1.5626526,1.4917297,1.4210815
CanESM5,25,6.3820496,6.3001404,5.741394,5.1395264
CanESM5,26,6.5967407,6.3916626,5.4924316,5.1195984
CanESM5,27,1.7183228,1.8233948,1.4670715,1.4694214
CanESM5,28,6.598236,6.8390503,5.3308105,4.898987
CanESM5,29,5.5795593,5.582367,4.319824,4.1784363
CanESM5,30,6.775818,6.716675,5.325836,5.253937
CanESM5,31,2.481018,2.38797,2.0200806,1.8539734
CanESM5,32,1.8896484,1.8712158,1.5831299,1.2645569
CanESM5,33,1.9496765,2.0104065,1.4510498,1.328125
CanESM5,34,1.475708,1.4899597,1.5180969,1.3117371
CanESM5,35,2.2826233,2.3691406,1.9195251,1.9230957
CanESM5,36,2.6585388,2.4137268,1.8736877,1.9910278
CanESM5,37,2.4831238,2.4772644,1.855896,1.7832031
CanESM5,38,6.584015,6.6199036,5.3375854,5.2634277
CanESM5,39,1.695404,1.5866089,1.5716553,1.4307861
CanESM5,40,2.5931702,2.4494324,2.188202,1.9432373
CanESM5,41,2.4862976,2.5653076,2.1079102,1.7538147
CanESM5,42,1.7112732,1.8131104,1.3384094,1.4470215
CanESM5,43,1.8766785,1.8624268,1.3388062,1.2899475
CanESM5,44,5.6608887,6.5075684,5.1789856,5.1574097
CanESM5,45,2.4493713,2.401245,1.7744751,1.8470459
CanESM5,46,1.8311157,1.8322754,1.4203186,1.1749878
CanESM5,47,1.8235168,1.6118774,1.5405273,1.2962646
CanESM5,48,2.3771973,2.4216614,2.0153503,1.8408508
CanESM5,49,6.713501,6.525421,5.4970703,5.2509155
CanESM5,50,1.9879456,1.8534546,1.3532715,1.4091797
CanESM5-1,1,6.537079,6.486328,3.640625,3.946991
CanESM5-1,2,6.4916077,6.608734,3.668457,3.9519653
CanESM5-1,3,5.802948,5.7840576,3.7200012,4.121887
CanESM5-1,4,6.2547607,6.30661,3.6079407,4.0069885
CanESM5-1,5,5.623871,6.302704,3.7105713,4.102356
CanESM5-1,6,6.6277466,6.533905,3.6490173,4.052185
CanESM5-CanOE,1,6.751251,6.693207,5.234955,4.7739563
CanESM5-CanOE,2,5.6262207,5.625122,4.255554,3.6900024
CanESM5-CanOE,3,6.6601562,6.662079,5.206909,4.7887573
CanESM5-CanOE,4,6.751251,6.691284,5.0963745,4.830597
CanESM5-CanOE,5,2.3933105,2.4352112,2.2266235,2.0213013
CanESM5-CanOE,6,6.662079,6.6601562,5.028076,4.703827
CanESM5-CanOE,7,2.49057,2.5021362,2.1767273,1.9381714
CanESM5-CanOE,8,2.4467773,2.4352112,2.0755005,1.9639893
CanESM5-CanOE,9,6.6647644,6.6047974,5.17807,4.71817
CanESM5-CanOE,10,6.60672,6.6047974,5.013916,4.7955627
CanESM5-CanOE,11,5.6770325,5.65625,4.1056824,3.7216187
CanESM5-CanOE,12,2.3933105,2.4352112,2.1003418,1.8667603
CanESM5-CanOE,13,5.625122,5.6262207,3.984375,3.82547
CanESM5-CanOE,14,2.5021362,2.49057,2.2676392,2.1130981
CanESM5-CanOE,15,2.5332642,2.4797974,2.2441406,1.9924622
CanESM5-CanOE,16,2.4352112,2.3933105,1.9615479,1.8461304
CanESM5-CanOE,17,2.49057,2.4486694,2.0491028,2.0242615
CanESM5-CanOE,18,6.693207,6.751251,5.107727,4.94458
CanESM5-CanOE,19,6.693207,6.691284,5.1560364,4.723938
CanESM5-CanOE,20,5.5905457,5.570862,4.1981506,3.8112183
CanESM5-CanOE,21,2.5021362,2.49057,2.134491,2.096283
CanESM5-CanOE,22,5.570862,5.5905457,4.2226562,3.919159
CanESM5-CanOE,23,2.3933105,2.4467773,2.2290344,2.144928
CanESM5-CanOE,24,6.693207,6.751251,5.229004,4.7961426
CanESM5-CanOE,25,2.4797974,2.521698,2.1175537,1.9211731
CanESM5-CanOE,26,6.751251,6.693207,5.1595154,4.8305054
CanESM5-CanOE,27,6.6647644,6.6047974,5.0664062,4.8845825
CanESM5-CanOE,28,6.691284,6.751251,5.0336,4.765442
CanESM5-CanOE,29,5.570862,5.5905457,4.032196,3.7974548
CanESM5-CanOE,30,6.7201233,6.6601562,5.1363525,4.918579
CanESM5-CanOE,31,2.5332642,2.4797974,2.0766602,1.9776917
CanESM5-CanOE,32,2.521698,2.4797974,2.0638123,2.122467
CanESM5-CanOE,33,2.4797974,2.5332642,2.2077637,1.866333
CanESM5-CanOE,34,2.3933105,2.4467773,2.1240234,2.085144
CanESM5-CanOE,35,2.4467773,2.4352112,2.092987,1.9773865
CanESM5-CanOE,36,6.60672,6.6047974,5.2153015,4.841217
CanESM5-CanOE,37,5.5905457,5.570862,4.0395813,3.920227
CanESM5-CanOE,38,5.570862,5.569763,4.036377,3.863037
CanESM5-CanOE,39,5.569763,5.570862,4.03067,3.7971802
CanESM5-CanOE,40,6.6601562,6.7201233,4.9584045,4.7397766
CanESM5-CanOE,41,5.6770325,5.6573486,4.1601257,3.8632812
CanESM5-CanOE,42,6.60672,6.6647644,5.056549,4.842621
CanESM5-CanOE,43,6.691284,6.693207,5.195038,4.7974243
CanESM5-CanOE,44,6.6601562,6.7201233,5.1735535,4.826782
CanESM5-CanOE,45,6.693207,6.691284,5.1595154,4.8408203
CanESM5-CanOE,46,2.4486694,2.49057,2.1339111,1.8560486
CanESM5-CanOE,47,5.6770325,5.65625,3.9737854,3.869751
CanESM5-CanOE,48,2.521698,2.5332642,2.13443,1.8740845
