aggregation,baseline_end,baseline_start,effective_block_trials,estimate,events,factual_probability,forcing,lower,members,natural_probability,one_sided,one_sided_point_ratio_bound,opportunities,pet_method,record_type,rsds_treatment,source,threshold,upper,window_end,window_start,years_per_member
regional-water-balance-spei,2010,1991,80,0.1825,73,,natural,0.1075,20,,False,,400,hargreaves,probability,adjusted,GISS-E2-1-G,-1.7197701930999756,0.2675,2014,1995,20
regional-water-balance-spei,2010,1991,84,0.182648401826484,,0.03333333333333333,factual/natural,0.03913894324853229,21,0.1825,False,nan,,hargreaves,probability_ratio,adjusted,GISS-E2-1-G,-1.7197701930999756,0.447378093604508,2014,1995,20
gridcell-spei-area-mean,2010,1991,84,0.01904761904761905,8,,factual,0.0,21,,False,,420,hargreaves,probability,unadjusted,GISS-E2-1-G,-1.655126820567337,0.04285714285714286,2014,1995,20
gridcell-spei-area-mean,2010,1991,80,0.125,50,,natural,0.06,20,,False,,400,hargreaves,probability,unadjusted,GISS-E2-1-G,-1.655126820567337,0.2,2014,1995,20
gridcell-spei-area-mean,2010,1991,84,0.1523809523809524,,0.01904761904761905,factual/natural,0.0,21,0.125,False,nan,,hargreaves,probability_ratio,unadjusted,GISS-E2-1-G,-1.655126820567337,0.46178107606679003,2014,1995,20
gridcell-spei-area-mean,2010,1981,100,0.022,11,,factual,0.01,100,,False,,500,hargreaves,probability,adjusted,GCMagicc,-1.6782536066442586,0.038,2025,2021,5
gridcell-spei-area-mean,2010,1981,100,0.0,0,,natural,0.0,100,,True,,500,hargreaves,probability,adjusted,GCMagicc,-1.6782536066442586,0.029513049607039932,2025,2021,5
gridcell-spei-area-mean,2010,1981,100,inf,,0.022,factual/natural,0.33883316475755315,100,0.0,True,0.7454329624666168,,hargreaves,probability_ratio,adjusted,GCMagicc,-1.6782536066442586,inf,2025,2021,5
gridcell-spei-area-mean,2010,1981,400,0.0705,141,,factual,0.0515,100,,False,,2000,hargreaves,probability,adjusted,GCMagicc,-1.6782536066442586,0.0915,2060,2041,20
gridcell-spei-area-mean,2010,1981,400,0.0005,1,,natural,0.0,100,,False,,2000,hargreaves,probability,adjusted,GCMagicc,-1.6782536066442586,0.002,2060,2041,20
gridcell-spei-area-mean,2010,1981,400,140.99999999999997,,0.0705,factual/natural,30.3,100,0.0005,True,nan,,hargreaves,probability_ratio,adjusted,GCMagicc,-1.6782536066442586,inf,2060,2041,20
gridcell-spei-area-mean,2010,1981,200,0.064,64,,factual,0.037,50,,False,,1000,hargreaves,probability,adjusted,CanESM5,-1.6782536066442586,0.095,2014,1995,20
gridcell-spei-area-mean,2010,1981,200,0.025,25,,natural,0.007,50,,False,,1000,hargreaves,probability,adjusted,CanESM5,-1.6782536066442586,0.048,2014,1995,20
gridcell-spei-area-mean,2010,1981,200,2.56,,0.064,factual/natural,1.114285714285714,50,0.025,False,nan,,hargreaves,probability_ratio,adjusted,CanESM5,-1.6782536066442586,9.571428571428571,2014,1995,20
gridcell-spei-area-mean,2010,1981,200,0.019,19,,factual,0.008,50,,False,,1000,hargreaves,probability,adjusted,MIROC6,-1.6782536066442586,0.033,2014,1995,20
gridcell-spei-area-mean,2010,1981,200,0.062,62,,natural,0.036,50,,False,,1000,hargreaves,probability,adjusted,MIROC6,-1.6782536066442586,0.092,2014,1995,20
gridcell-spei-area-mean,2010,1981,200,0.3064516129032258,,0.019,factual/natural,0.11666666666666667,50,0.062,False,nan,,hargreaves,probability_ratio,adjusted,MIROC6,-1.6782536066442586,0.6500378787878781,2014,1995,20
gridcell-spei-area-mean,2010,1981,84,0.016666666666666666,7,,factual,0.0,21,,False,,420,hargreaves,probability,adjusted,GISS-E2-1-G,-1.6782536066442586,0.04047619047619048,2014,1995,20
gridcell-spei-area-mean,2010,1981,80,0.0975,39,,natural,0.0425,20,,False,,400,hargreaves,probability,adjusted,GISS-E2-1-G,-1.6782536066442586,0.1675,2014,1995,20
gridcell-spei-area-mean,2010,1981,84,0.17094017094017094,,0.016666666666666666,factual/natural,0.0,21,0.0975,False,nan,,hargreaves,probability_ratio,adjusted,GISS-E2-1-G,-1.6782536066442586,0.5782682638272695,2014,1995,20
gridcell-spei-area-mean,2010,1991,100,0.018,9,,factual,0.006,100,,False,,500,penman-monteith,probability,adjusted,GCMagicc,-1.8381701072586882,0.032,2025,2021,5
