aggregation,baseline_end,baseline_start,effective_block_trials,estimate,events,factual_probability,forcing,lower,members,natural_probability,one_sided,one_sided_point_ratio_bound,opportunities,pet_method,record_type,rsds_treatment,source,threshold,upper,window_end,window_start,years_per_member
regional-water-balance-spei,2010,1991,200,0.067,67,,factual,0.039,50,,False,,1000,penman-monteith,probability,adjusted,CanESM5,-1.9174238443374634,0.1,2014,1995,20
regional-water-balance-spei,2010,1991,200,0.0,0,,natural,0.0,50,,True,,1000,penman-monteith,probability,adjusted,CanESM5,-1.9174238443374634,0.014867039231272083,2014,1995,20
regional-water-balance-spei,2010,1991,200,inf,,0.067,factual/natural,2.892304199315733,50,0.0,True,4.50661351986405,,penman-monteith,probability_ratio,adjusted,CanESM5,-1.9174238443374634,inf,2014,1995,20
gridcell-spei-area-mean,2010,1991,200,0.038,38,,factual,0.019,50,,False,,1000,penman-monteith,probability,unadjusted,CanESM5,-1.8381701072586882,0.061,2014,1995,20
gridcell-spei-area-mean,2010,1991,200,0.0,0,,natural,0.0,50,,True,,1000,penman-monteith,probability,unadjusted,CanESM5,-1.8381701072586882,0.014867039231272083,2014,1995,20
gridcell-spei-area-mean,2010,1991,200,inf,,0.038,factual/natural,1.4797835438359566,50,0.0,True,2.5559897575348343,,penman-monteith,probability_ratio,unadjusted,CanESM5,-1.8381701072586882,inf,2014,1995,20
gridcell-spei-area-mean,2010,1991,200,0.01,10,,factual,0.003,50,,False,,1000,penman-monteith,probability,adjusted,MIROC6,-1.8381701072586882,0.02,2014,1995,20
gridcell-spei-area-mean,2010,1991,200,0.008,8,,natural,0.001,50,,False,,1000,penman-monteith,probability,adjusted,MIROC6,-1.8381701072586882,0.017,2014,1995,20
gridcell-spei-area-mean,2010,1991,200,1.25,,0.01,factual/natural,0.2857142857142857,50,0.008,False,nan,,penman-monteith,probability_ratio,adjusted,MIROC6,-1.8381701072586882,7.0,2014,1995,20
regional-water-balance-spei,2010,1991,200,0.018,18,,factual,0.007,50,,False,,1000,penman-monteith,probability,adjusted,MIROC6,-1.9174238443374634,0.032,2014,1995,20
regional-water-balance-spei,2010,1991,200,0.016,16,,natural,0.005,50,,False,,1000,penman-monteith,probability,adjusted,MIROC6,-1.9174238443374634,0.03,2014,1995,20
regional-water-balance-spei,2010,1991,200,1.125,,0.018,factual/natural,0.36363636363636365,50,0.016,False,nan,,penman-monteith,probability_ratio,adjusted,MIROC6,-1.9174238443374634,3.714285714285714,2014,1995,20
gridcell-spei-area-mean,2010,1991,200,0.01,10,,factual,0.003,50,,False,,1000,penman-monteith,probability,unadjusted,MIROC6,-1.8381701072586882,0.02,2014,1995,20
gridcell-spei-area-mean,2010,1991,200,0.007,7,,natural,0.001,50,,False,,1000,penman-monteith,probability,unadjusted,MIROC6,-1.8381701072586882,0.016,2014,1995,20
gridcell-spei-area-mean,2010,1991,200,1.4285714285714286,,0.01,factual/natural,0.3333333333333333,50,0.007,False,nan,,penman-monteith,probability_ratio,unadjusted,MIROC6,-1.8381701072586882,8.5,2014,1995,20
gridcell-spei-area-mean,2010,1991,84,0.014285714285714285,6,,factual,0.0,21,,False,,420,penman-monteith,probability,adjusted,GISS-E2-1-G,-1.8381701072586882,0.03571428571428571,2014,1995,20
gridcell-spei-area-mean,2010,1991,80,0.045,18,,natural,0.0075,20,,False,,400,penman-monteith,probability,adjusted,GISS-E2-1-G,-1.8381701072586882,0.0925,2014,1995,20
gridcell-spei-area-mean,2010,1991,84,0.31746031746031744,,0.014285714285714285,factual/natural,0.0,21,0.045,False,nan,,penman-monteith,probability_ratio,adjusted,GISS-E2-1-G,-1.8381701072586882,1.9047619047619049,2014,1995,20
regional-water-balance-spei,2010,1991,84,0.023809523809523808,10,,factual,0.002380952380952381,21,,False,,420,penman-monteith,probability,adjusted,GISS-E2-1-G,-1.9174238443374634,0.05476190476190476,2014,1995,20
regional-water-balance-spei,2010,1991,80,0.0725,29,,natural,0.025,20,,False,,400,penman-monteith,probability,adjusted,GISS-E2-1-G,-1.9174238443374634,0.1325,2014,1995,20
regional-water-balance-spei,2010,1991,84,0.3284072249589491,,0.023809523809523808,factual/natural,0.03524187452758884,21,0.0725,False,nan,,penman-monteith,probability_ratio,adjusted,GISS-E2-1-G,-1.9174238443374634,1.25,2014,1995,20
gridcell-spei-area-mean,2010,1991,84,0.014285714285714285,6,,factual,0.0,21,,False,,420,penman-monteith,probability,unadjusted,GISS-E2-1-G,-1.8381701072586882,0.03571428571428571,2014,1995,20
gridcell-spei-area-mean,2010,1991,80,0.055,22,,natural,0.015,20,,False,,400,penman-monteith,probability,unadjusted,GISS-E2-1-G,-1.8381701072586882,0.11,2014,1995,20
gridcell-spei-area-mean,2010,1991,84,0.2597402597402597,,0.014285714285714285,factual/natural,0.0,21,0.055,False,nan,,penman-monteith,probability_ratio,unadjusted,GISS-E2-1-G,-1.8381701072586882,1.26984126984127,2014,1995,20
gridcell-spei-area-mean,2010,1981,100,0.04,20,,factual,0.02,100,,False,,500,penman-monteith,probability,adjusted,GCMagicc,-1.7303936915940574,0.062,2025,2021,5
gridcell-spei-area-mean,2010,1981,100,0.0,0,,natural,0.0,100,,True,,500,penman-monteith,probability,adjusted,GCMagicc,-1.7303936915940574,0.029513049607039932,2025,2021,5
gridcell-spei-area-mean,2010,1981,100,inf,,0.04,factual/natural,0.8131995954181276,100,0.0,True,1.3553326590302126,,penman-monteith,probability_ratio,adjusted,GCMagicc,-1.7303936915940574,inf,2025,2021,5
gridcell-spei-area-mean,2010,1981,400,0.1435,287,,factual,0.114,100,,False,,2000,penman-monteith,probability,adjusted,GCMagicc,-1.7303936915940574,0.174,2060,2041,20
gridcell-spei-area-mean,2010,1981,400,0.0,0,,natural,0.0,100,,True,,2000,penman-monteith,probability,adjusted,GCMagicc,-1.7303936915940574,0.0074613555287995625,2060,2041,20
gridcell-spei-area-mean,2010,1981,400,inf,,0.1435,factual/natural,15.948844622224508,100,0.0,True,19.232430279741315,,penman-monteith,probability_ratio,adjusted,GCMagicc,-1.7303936915940574,inf,2060,2041,20
gridcell-spei-area-mean,2010,1981,200,0.075,75,,factual,0.046,50,,False,,1000,penman-monteith,probability,adjusted,CanESM5,-1.7303936915940574,0.108,2014,1995,20
gridcell-spei-area-mean,2010,1981,200,0.0,0,,natural,0.0,50,,True,,1000,penman-monteith,probability,adjusted,CanESM5,-1.7303936915940574,0.014867039231272083,2014,1995,20
gridcell-spei-area-mean,2010,1981,200,inf,,0.075,factual/natural,3.3631444178089924,50,0.0,True,5.044716626713488,,penman-monteith,probability_ratio,adjusted,CanESM5,-1.7303936915940574,inf,2014,1995,20
gridcell-spei-area-mean,2010,1981,200,0.012,12,,factual,0.004,50,,False,,1000,penman-monteith,probability,adjusted,MIROC6,-1.7303936915940574,0.023,2014,1995,20
gridcell-spei-area-mean,2010,1981,200,0.012,12,,natural,0.003,50,,False,,1000,penman-monteith,probability,adjusted,MIROC6,-1.7303936915940574,0.024,2014,1995,20
gridcell-spei-area-mean,2010,1981,200,1.0,,0.012,factual/natural,0.25,50,0.012,False,nan,,penman-monteith,probability_ratio,adjusted,MIROC6,-1.7303936915940574,4.3999999999999995,2014,1995,20
gridcell-spei-area-mean,2010,1981,84,0.01904761904761905,8,,factual,0.0,21,,False,,420,penman-monteith,probability,adjusted,GISS-E2-1-G,-1.7303936915940574,0.047619047619047616,2014,1995,20
gridcell-spei-area-mean,2010,1981,80,0.06,24,,natural,0.015,20,,False,,400,penman-monteith,probability,adjusted,GISS-E2-1-G,-1.7303936915940574,0.1175,2014,1995,20
gridcell-spei-area-mean,2010,1981,84,0.3174603174603175,,0.01904761904761905,factual/natural,0.0,21,0.06,False,nan,,penman-monteith,probability_ratio,adjusted,GISS-E2-1-G,-1.7303936915940574,1.4603174603174605,2014,1995,20
