driving_model,scenario,is_test,file_glob,source,members_used
GISS-E2-1-G,historical,False,data_DAT_GISS-E2-1-G_historical_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
GISS-E2-1-H,historical,False,data_DAT_GISS-E2-1-H_historical_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
GISS-E2-2-G,historical,False,data_DAT_GISS-E2-2-G_historical_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
HadGEM3-GC31-LL,historical,False,data_DAT_HadGEM3-GC31-LL_historical_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
HadGEM3-GC31-MM,historical,False,data_DAT_HadGEM3-GC31-MM_historical_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
INM-CM4-8,historical,False,data_DAT_INM-CM4-8_historical_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
INM-CM5-0,historical,False,data_DAT_INM-CM5-0_historical_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
IPSL-CM6A-LR,historical,False,data_DAT_IPSL-CM6A-LR_historical_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
MIROC-ES2L,historical,False,data_DAT_MIROC-ES2L_historical_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
MIROC6,historical,False,data_DAT_MIROC6_historical_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
